Timestamp,Real,Imaginary
2895 ns,1.1856e+06,-174637
2896 ns,19015,-551565
2897 ns,1.11498e+06,653723
2898 ns,545086,-138174
2899 ns,85333,-336830
2900 ns,-375957,-1.48283e+06
2901 ns,-528566,1.10443e+06
2902 ns,1.41002e+06,1.06612e+06
2903 ns,-226870,-211904
2904 ns,559327,252264
2905 ns,1.0667e+06,-773966
2906 ns,-453402,416505
2907 ns,1.47942e+06,37246
2908 ns,548809,41137
2909 ns,-597654,-743107
2910 ns,834442,-281017
2911 ns,-1.88565e+06,249817
2912 ns,-143095,-283550
2913 ns,194813,-16806
2914 ns,764682,1.66011e+06
2915 ns,270834,-151845
2916 ns,-117790,-244533
2917 ns,-1.54219e+06,-859136
2918 ns,955637,772020
2919 ns,-1.21978e+06,241447
2920 ns,933660,1.66362e+06
2921 ns,-2.4251e+06,-252135
2922 ns,-1.11271e+06,-491432
2923 ns,-2.16932e+06,351249
2924 ns,201435,-1.20454e+06
2925 ns,113288,724355
2926 ns,950663,1.18754e+06
2927 ns,-138154,792641
2928 ns,-1.65527e+06,-598711
2929 ns,175306,-805933
2930 ns,1.38538e+06,207994
2931 ns,413116,652166
2932 ns,315735,162554
2933 ns,11599,-1.11495e+06
2934 ns,293996,-285773
2935 ns,748588,-745610
2936 ns,-604349,959380
2937 ns,564999,-806134
2938 ns,-757746,152746
2939 ns,829162,488641
2940 ns,-720452,257478
2941 ns,1.53663e+06,186092
2942 ns,-1.1098e+06,406012
2943 ns,1.81374e+06,-803757
2944 ns,861228,-1.18151e+06
2945 ns,265474,738882
2946 ns,332698,-36188
2947 ns,88109,1.00765e+06
2948 ns,-715827,-45914
2949 ns,323282,168256
2950 ns,-36552,-1.2754e+06
2951 ns,-285477,-450302
2952 ns,-376174,517886
2953 ns,273881,1.29315e+06
2954 ns,-1.24142e+06,260177
2955 ns,-60651,-162522
2956 ns,391107,-361527
2957 ns,260763,931534
2958 ns,1.00689e+06,-1.23093e+06
2959 ns,459666,-1.5082e+06
2960 ns,-164915,-553792
2961 ns,-35035,736266
2962 ns,-611189,-70015
2963 ns,45569,701546
2964 ns,-2.38397e+06,1.3631e+06
2965 ns,85928,-310873
2966 ns,950893,2.09043e+06
2967 ns,993768,-663977
2968 ns,460407,-510056
2969 ns,-413812,164245
2970 ns,10748,-524078
2971 ns,-634699,293237
2972 ns,-410177,-633203
2973 ns,676666,-48591
2974 ns,-301285,219299
2975 ns,-1.3717e+06,282538
2976 ns,1.32921e+06,133999
2977 ns,1.8632e+06,291716
2978 ns,1.84968e+06,73958
2979 ns,-92944,677809
2980 ns,-597400,1.03788e+06
